Facility,ICE Dedicated /Non-Dedicated,Address,ICE Field Office,State,Contract Type ,Facility Operator,FY20 ALOS,FY20 Male Crim,FY20 Male Non-Crim,FY20 Female Crim,FY20 Female Non-Crim,FY 2020 ADP (Fac List on 09/08/20),FY21 ALOS,FY21 Male Crim,FY21 Male Non-Crim,FY21 Female Crim,FY21 Female Non-Crim,FY 2021 ADP (Fac List on 01/04/21),FY 2021 ADP (Fac List on 02/08/21),FY20 Guaranteed Min,FY21 Guaranteed Min
Geauga County Safety Center,Non-Dedicated,"12450 Merritt Road Chardon, OH, 44024",Detroit,Ohio,USMS IGA,GOV,52.6,27.3,16.8,1.6,2.2,48,,,,,,31,28,0,
Glades County Detention Center,Non-Dedicated,"1297 East SR 78 Moore Haven, FL, 33471",Miami,Florida,IGSA,GOV,61.3,258.2,65.8,34.1,21.6,384,74,185,71,24,21,301,296,0,
Golden State Annex Facility,Dedicated,"611 Frontage Road, McFarland, CA 93250",San Francisco,California,CDF,GOV,12.5,2.7,0.4,0,0,,32,74,4,0,0,78,81,560,560
Grand Forks County Correctional,Non-Dedicated,"1701 N Washington St # A, Grand Forks, ND 58203",St. Paul,North Dakota,JUVENILE,GOV,,,,,,,,,,,,0,0,,
Grayson County Jail,Non-Dedicated,"320 Shaw Station RdLeitchfield, KY 42754",Chicago,Kentucky,USMS IGA,GOV,,,,,,0,,,,,1,0,0,,
Hall County Department of Corrections,Non-Dedicated,"110 Public Safety Dr. Grand Island, NE 68801",St. Paul,Nebraska,IGSA,GOV,53.6,45.9,6.6,4.1,0.6,60,54,20,3,3,,26,25,0,
Hall County Jail,Non-Dedicated,"1700 Barber Rd. Gainesville, GA 30507",Atlanta,Georgia,USMS IGA,GOV,,,,,,0,,,,,,0,0,,
Hancock County Jail,,"200 W Crawford St, Findlay, OH 45840",Detroit,Ohio,,GOV,,,,,,,,,,,,,,0,
Hardin County Correctional Center,Non-Dedicated,"1116 14th Avenue Eldora, IA, 50627",St. Paul,Iowa,IGSA,GOV,40.1,44,5.7,0.7,0.3,51,43,31,6,0,0,37,38,0,
Henderson Detention Center,Non-Dedicated,"18 E. Basic Road Henderson, NV, 89015",Salt Lake City,Nevada,USMS IGA,GOV,46.1,99.3,60.9,14.2,7,184,64,84,31,11,4,131,133,0,
Houston Contract Detention Facility,Dedicated,"15850 Export Plaza Drive Houston, TX 77032",Houston,Texas,CDF,CORECIVIC,39.9,260.1,251.1,20.7,45.4,590,43,80,98,7,14,205,211,750,750
Howard County Detention Center,Non-Dedicated,"7301 Waterloo Rd Jessup, MD, 20794",Baltimore,Maryland,IGSA,GOV,54.6,37.9,6.4,0,0,46,99,15,1,0,0,16,15,0,
Howard R. Young Correctional Institution,,"1301 E 12th St, Wilmington, DE 19802",Philadelphia,Delware,,GOV,,,,,,,,,,,,,,,
Hudson County Jail,Non-Dedicated,"30-35 Hackensack Avenue Kearny, NJ, 07032",New York City,New Jersey,IGSA,GOV,76.2,121.1,52.8,12.5,5.1,200,103,66,21,0,0,89,81,0,
IAH Polk Adult Detention Facility,Non-Dedicated,"3400 FM 350 South Livingston, TX, 77351",Houston,Texas,IGSA,MTC,62.9,64.7,229.2,0.2,0,297,81,49,51,0,0,106,83,350,350
